charity_number,name,activities,address,postcode,phone,email,website,income
1124166,IQRA FOUNDATION UK,"IQRA FOUNDATION UK CARRIED OUT THE FOLLOWING ACTIVITIES:FUNDED GET TOGETHER SESSIONS WITH THE AIM OF ENGAGING THE ELDERLY OF THE COMMUNITY.SPONSORED ENGLISH LANGUAGE, COMPUTER AND BASIC SKILLS COURSES IN SYLHET, BANGLADESH.","64 THE FAIRWAY, LONDON",N14 4NU,07961426270,iqra.foundation.uk@hotmail.co.uk,,61742
1126417,"THE FRIENDS OF THE PARISH CHURCH OF SAINT DUNSTAN, CRANBROOK","Raises funds to preserve church & promote public awareness of it. 110 plus members pay annual subscription. Regular events - concerts etc- including annual arts festival. Produces literature, conducts adult & school tours, makes grants towards maintenance of church.","Church House, Stone Street, CRANBROOK, Kent",TN17 3HA,01580712161,fostd@btinternet.com,https://WWW.FriendsOfStDunstans.ORG,13946
1125428,BRIGHT SPARKS CHILDCARE CENTRE,childcare/education for 2-5 year olds,"C/O WARDEN HOUSE PRIMARY SCHOOL, BIRDWOOD AVENUE, DEAL",CT14 9SF,01304389852,committeebsccc@aol.com,https://bright-sparks-preschool.com,211593
1123882,FRIENDS OF ST JOHN'S CEP SCHOOL,"Provide social events, to raise money and social enhancement and community spirit, in which the pupils, staff and parents of the school participate in activities together eg. Summer and Christmas Fayres.  The money raised from such activities is used to provide additional resources for the school which would otherwise be unobtainable through existing school funding.","ST. JOHNS C OF E PRIMARY SCHOOL, PROVENDER WAY, WEAVERING, MAIDSTONE",ME14 5TZ,01622737432,friends@st-johns-maidstone.kent.sch.uk,https://www.st-johns-maidstone.kent.sch.uk,15264
1124080,VICTORY INTERNATIONAL CHURCH UK,Pastoral Services.Establish Christian worship centres. Arrange empowerment seminarsCounselling and welfare services.Involvement in community development and cohesion.,"68 BETSHAM ROAD, ERITH",DA8 2BG,01322359566,info@vicintchurchek.org.uk,https://www.vicintchurchek.org.uk,7432
1125371,ENGINEERING MINISTRIES INTERNATIONAL UK,"We exist to enable Christian design professionals to serve the poorest of poor people in the third world and elswhere by the design of buildings, water and power facilities etc. We aim to 'Design a world of hope'. At the same time we hope to spread the Gospel of Jesus Christ by example and by teaching to the people and places we go to.","38 Quantock Drive, ASHFORD",TN24 8RJ,07810165867,Paul.Brooks@emiworld.org,https://www.emiuk.org,283127
1125174,SANTI VANARAM BUDDHIST ASSOCIATION,Daily services at the Temple 108 Deanwood DriveSupport for the local communities including meditation.Assist Kent Police in providing Diversity training.Fund raising at principle Thai Festivals throughout the year.Membership of West Kent Multifaith Group.Based in Kent but covers Essex and East Sussex,"108 Deanwood Drive, Gillingham",ME8 9LL,01634262283,Anna1571_skys@yahoo.co.uk,https://www.santivanaram.co.uk,82484
1125784,CELEBRATION CHURCH UNITED KINGDOM LIMITED,"Currently Celebration Church United Kingdom has its main congregation in Maidstone and a number of church plants organised in 4 hubs across the United Kingdom. The church is headquartered in Maidstone. Sunday services are held each week and other activities/events run throughout the week to cater for the needs of children, women, men and the youth in order to advance the Christian religion.","Christ Church, 46 Wallis Ave, MAIDSTONE, Kent",,01622 910077,ccuk@celebrate.org,https://www.celebrationchurch.org.uk/,175075
1124176,PARENTS & FRIENDS OF HOLYWELL SCHOOL (PFHS) UPCHURCH,RAISING MONIES FOR THE PROVISION OF FACILITIES AND RESOURCES AT THE SCHOOL BY WAY OF VARIOUS FUNDRAISING ACTIVITIES.,"HOLYWELL PRIMARY SCHOOL, FORGE LANE, UPCHURCH, SITTINGBOURNE",ME9 7AE,01634388416,pfhs@holywell.kent.sch.uk,https://www.pfhs.co.uk,11930
1124498,The Prudent Ladies Club,"We provide counselling in different languages to support to anyone who is feeling vulnerable.  We offer online and telephone counselling, group counselling Mondays, workshops on as self-esteem, discovering yourself, parenting skills counselling to young people in secondary education monthly. We give support to victims of domestic violence and support for single parent Wednesdays","10 Schooner, London, London",E16 2RN,07517003130,franca@gmail.com,,0
1124298,The Big Fish Band,"The Big Fish Band  (AKA Big Fish Arts Trust)is  a volunteer run community group creating  Arts and Heritage Events including Street theatre, Historic Research, Street band, drama  & costume workshops, dramatised walks and plays based on local Historic events, Community opera, plays and films. We run Heritage Festivals, Lantern Parades and take part in Carnivals and festivals.","61 MARINE PARADE, SHEERNESS",ME12 2BD,07775712306,chrisonsheppey@aol.com,http://bigfisharts.wordpress.com/,2502
1124296,THE PARACHUTE REGIMENTAL ASSOCIATION MAIDSTONE BRANCH,"To pursue the objects of the main chairity, ie  The Parachute Regimental Association.","12 Queens House, Fennel Close, MAIDSTONE",ME16 0SZ,01622721105,dcurtin@gmail.com,,430
1126981,THE PARACHUTE REGIMENTAL ASSOCIATION ELTHAM AND CHISLEHURST BRANCH,"Our objects are:1 - the promotion of efficiency of The Parachute Regt & Airborne Forces2 - the relief of need, hardship & distress amongst past & present members ofThe Parachute Regt, Airborne Forces & their dependents;3 - the promotion & maintenance of the heritage of The Parachute Regiment & Airborne ForcesWe are controlled & our operations overseen by a board of trustees","96 Blanmerle Road, New Eltham, London",SE9 2DZ,078100-22-974,ec-pra@hotmail.co.uk,https://www.facebook.com/groups/818923954792489/,20346
1125274,"Age UK Hythe, Lyminge and Ashford","Age UK Hythe & Lyminge encourage and enable independence and wellbeing  in later life. We aim to reduce social isolation and loneliness, improve the quality of life and reduce financial hardship, services include, 2 course lunch, transport, social opportunities and activities, singing, cooking, walking, exercise, home meals, independent living service, and information and advice and much more.","Age UK Hythe, Lyminge and Ashford, SANFORD HOUSE, STADE STREET, HYTHE",CT21 6BD,01303269602,co@ageukhla.org.uk,https://www.ageuk.org.uk/hythelymingeashford,1646711
1128089,SOUTHERN SKI CLUB FOR THE DISABLED,"(1) to provide facilities to enable disabled people to partake in various forms of winter sports;(2) to train, so that disabled people may acquire the skill so to participate;(3) to provide financial assistance to enable disabled people to participate in all the activities of the Charity or of its Affiliate Members;(4)  to do all such things as will further the above objects.","45 RUSHAM ROAD, EGHAM",TW20 9LP,07775687648,,https://www.sscd.org.uk,13555
1125648,CROYDON HARRIERS (ATHLETICS CLUB),"We offer athletics provision for all ages, abilities and needs in the Croydon community, but mainly the young. We provide coaching, competition & officials for our athletes, local schools, championship events & youth groups. We promote theCroydon 10k & 3k Fun Run, supporting many charities & we help with Caterham Rotary 5k & Fun Run. We generate funds for CRY through photo donations & sponsorship.","CROYDON HARRIERS, CROYDON SPORTS ARENA, ALBERT ROAD, LONDON",SE25 4QL,07709494684,croydonharriers@hotmail.com,https://www.croydonharriers.com,20904
1124874,CHRIST APOSTOLIC CHURCH (POWER OF GOD SAVES),"We preach the gospel of Jesus Christ to the community throughEvangelism, EducationCaring for the poor and needyCounselling & mentoring of children and youth to meet future challengesSeminars and counselling for adult, marriages and families to love and care for each otherTo relief the poor, oppressed and healing all infirmities by the power of our Lord Jesus Christ.","14 Bright Road, CHATHAM, Kent",ME4 5HH,07466455972,cacpowerofgodsaves@yahoo.co.uk,,42129
1127047,GURU HARGOBIND SAHIB GURDWARA,The promotion and advancement of the Sikh faith,"SIKH TEMPLE, 8-10 HIGHFIELD ROAD, DARTFORD",DA1 2JJ,07951006620,ghsdartford@outlook.com,,104554
1125264,GIDEON ORPHANAGE HOME,"The Relief of poverty, sickness and distress among abandoned, orphaned and abused children up to the age of 16 years in England, Wales and Nigeria by the provision of food, accommodation, and other basic necessities and the advancement of education for the benefit among abandoned, orphaned and abused children up to the age of 16 years in England, Wales and Nigeria","1 HIGH TOR VIEW, LONDON",SE28 0LN,00447944691783,GIDEONORPHANAGEHOME@HOTMAIL.COM,https://www.gideonorphanage.org,0
1125226,ELHAM PRE-SCHOOL,To give pre-school training and education to 2-5 year old children,"Elham Village Hall, High Street, Elham, Canterbury",CT4 6SX,01303840041,elhampreschool@gmail.com,https://www.elhampreschool.co.uk,48498
1125051,SALEM MINISTRIES,"WE PROMOTE CHRISTIAN MESSAGE AND VALUE THROUGH ACTIVE MINISTRY AND MISSION. TO INTRODUCE THE LOVE OF GOD TO THOSE WHO ARE HURTING AND WITHOUT HOPE. TO INTRODUCE THE PEACE OF INTO OUR COMMUNITIES AND NATION BY STRENGTHENING THE FAMILY THROUGH SOUND CHRISTIAN EDUCATION AND SUPPORT.E THE EXCESS OF FUNDS OF THE ASSOCIATION TOWARDS THE RELIEF OF POVERTY AMONGST CHILDREN, HOMELESS, COMMUNITIES.","47 HENDERSON DRIVE, DARTFORD",DA1 5LF,01322411353,info@salemministries.org.uk,https://www.salemministries.g.org.uk,20486
1125825,FRIENDS OF THE DISCOVERY SCHOOL,"To raise funds for the Discovery School via School Fayres, Donations, Gift Sales , Fireworks displays, Quiz Nites etc and any other Fund Raising activity deemed necessary by the PTA","THE DISCOVERY SCHOOL, DISCOVERY DRIVE, KINGS HILL, WEST MALLING",ME19 4GJ,01732847000,discovery.fods@gmail.com,https://www.discovery.kent.sch.uk,32307
1125244,BELLS OF REVIVAL WORLDWIDE MINISTRIES,"Youth - We run a weekly youth club that aims to provide activities for young people of Ashford and create an environment for positive integration. Church - We run a Christian congregation that meet every Sunday aswell as smaller weekly meetings on selected days.Women - Bells Ladies ministry aims to empower women through forums, workshops and conferences where a variety of topics are discussed.","5/6 Montepelier Business Park, Dencora Way, Ashford, Kent",TN23 4FG,01233877377,admin@bellsofrevival.org,,359849
1125084,TEMPLESPRINGS,"Templesprings specialises in the area of Music Coaching, Lifestyle Coaching and Mentoring services. Our music coaching programs are unique and robust, and includes group courses in schools, faith organisations, and short intensive classes for individuals.  Templesprings works with people who want to access professional coaching services for personal development.","Ground Floor 22 London Road, GRAYS, Essex",RM17 5XY,01375800979,info@templesprings.com,https://www.templesprings.com,142426
1125255,RCCG - CITY OF REDEMPTION PARISH,"Conducting Sunday services, bible studies and prayer meetings. Running special programs in the church with ministers of the faith to guide members in various aspects of their lives with Christian tenets. Supporting other charities/christian events. Regular visitation within the community to provide required support.Events: healing programs, youth programs,couples nights and coffee mornings.","17 - 25 New Rents, ASHFORD, Kent",TN23 1JJ,07828580347,clem4tob@yahoo.co.uk,https://www.newcityofredemption.co.uk,163342
1128684,THE DUKIES FOUNDATION,"To provide items, services, facilities and opportunities for the Duke of Yorks Royal Military School and pupils of the School. To promote the education of pupils and former pupils of the School who are in need of financial assistance and to advance the education of pupils attending the School by the award of prizes and such other charitable purposes as the trustees shall from time to time see fit.","Duke of Yorks Royal Military School, Guston, DOVER",CT15 5EQ,01304245029,RECEPTION@DOYRMS.COM,,87225
1126568,THE SHM FOUNDATION,"The SHM Foundation works globally to bring about positive social change through projects in the areas of learning and citizenship, health, education and the arts with the aim to provide communities and individuals with the practical tools they need to develop innovative solutions. It uses knowledge from the humanities and social sciences to understand human motivation to address social challenges.","1ST FLOOR, 20-22 BEDFORD ROW, LONDON",WC1R 4EB,02072425504,info@shmfoundation.org,https://www.shmfoundation.org,1013550
1126266,SUNLIGHT DEVELOPMENT TRUST LIMITED,"We use community development to tackle long standing health and social inequalities.  The Centre houses a community radio station, recording studio, caf+®, GP practice and community rooms used by the diverse communities that make up the Medway towns.  Sunlight delivers services directly and uses community development to support individuals and groups to make positive changes to their communities.","THE SUNLIGHT DEVELOPMENT TRUST, 105 RICHMOND ROAD, GILLINGHAM",ME7 1LX,01634 581511,info@sunlighttrust.org.uk,https://www.sunlighttrust.org.uk,611192
1125630,SOCIAL CARE HOUSING TRUST,"Providing accommodation opportunities for People with Learning disabilities and people with mental health needs, providing support and housing advice.","167-169 Great Portland Street, London",W1W 5PF,02085239090,info@scht.org,https://www.scht.org,831328
1125355,CAMBRIA TRUST,"SB Cambria provides sail training mainly with young persons, but also including some apprenticeship work experience and adult vocational training. Whenever possible, opportunities are taken to open her to the public to promote awareness of the heritage, traditions, culture and economics of the sailing barge. The Trust also publishes related information using social media and its website.","Blackwater Marina, Esplanade, Mayland, CHELMSFORD",CM3 6AL,07710320992,secretary@cambriatrust.org.uk,https://www.cambriatrust.org.uk,4846
1125801,"CHRIST APOSTOLIC CHURCH, REFORMATION CHAPEL INTERNATIONAL",Advance the Christian religion in accordance with tenets and belief of Christ Apostolic Church by propagating the Gospel of our Lord Jesus Christ and proclaiming the Kingdom of God. Advance Education with Christian Principles and Relieve Poverty through Education/Training/ Religious Activities/Welfare,"3 Eastern Avenue, Western Cross, Ebbsfleet Valley, SWANSCOMBE, Kent",DA10 1FR,07956278482,pastor@cacreformationchapel.org.uk,https://cacreformationchapel.org.uk,3497
1125712,ROTARY CLUB OF CANTERBURY SUNRISE TRUST FUND,To apply the trust fund for the relief of the poor and needy or such other charitable activities as the Rotary Club of Canterbury Sunrise shall direct,"Appledown House, Barton Business Park, New Dover Road, CANTERBURY, Kent",CT1 3TE,07973297085,jarle@noeltatt.co.uk,,9779
1125646,RHYTHMIX,"** IN LIQUIDATION **ADVANCE EDUCATION FOR THE PUBLIC BENEFIT BY THE PROMOTION OF THE ARTS,IN PARTICULAR BUT NOT EXCLUSIVELY THE ART OF MUSIC","PO BOX 69, Tunbridge Wells, Kent",TN2 9FT,08701417484,info@rhythmixmusic.org.uk,https://www.rhythmixmusic.org.uk,466263
1126553,WHITSTABLE CASTLE TRUST,To provide community facilities for Whitstable residents and visitors.   To preserve and maintain the heritage building and gardens.,"Whitstable Castle, Tower Hill, WHITSTABLE, Kent",CT5 2BW,01227281726,enquiries@whitstablecastle.co.uk,https://www.whitstablecastle.co.uk,712338
1125756,WEST KENT DEBT ADVICE,West Kent Debt Advice (WKDA) is an independent charity providing advice and practical assistance to all who find themselves in debt or financial difficulty in West Kent. Our service is completely free and impartial and our work is supported and funded by local churches acting together.,"TONBRIDGE BAPTIST CHURCH, DERWENT ROAD, TONBRIDGE",TN10 3HZ,01732 300 425,info@crosslightadvice.org,https://www.wkda.org.uk,152679
1126369,REDEEMED CHRISTIAN CHURCH OF GOD - IMMANUEL SANCTUARY,"The main activity of the charity is the propagation the of the Christian faith through the establishment and maintenance of Christian worship service which entails evangelism, visitation and charitable activities aimed at dispensing the love of Christ.","UNIT 3 VICTORIA INDUSTRIAL PARK, VICTORIA ROAD, DARTFORD",DA1 5AJ,07888680747,pastornonso@gmail.com,https://www.rccg-immanuelsanctuary.org,65253
1125773,CHOICES (FORMERLY KNOWN AS NORTH KENT WOMEN'S AID) LIMITED,"Choices (previously known as North Kent Women?s Aid), is an independent specialist domestic abuse service providing supportive services to men, women and young people who are affected by domestic abuse and to raise awareness of the issues surrounding those who lives are impacted by it. Supporting clients throughout Medway, North & West Kent.","2 The Avenue, GRAVESEND, Kent",DA11 0NA,01843260900,admin@oasisdaservice.org,https://www.oasisdaservice.org,0
1127186,ONE LIFE - PROMOTING THE EMOTIONAL WELL-BEING OF YOUNG PEOPLE,"THE PRESERVATION AND PROTECTION OF THE PHYSICAL AND MENTAL HEALTH OF YOUNG PEOPLE BYTHE PROVISION OF EDUCATION, INFORMATION, SUPPORT AND ADVICE.","51 Kingsdale Road, London",SE18 2DD,07838216153,info@onelifeuk.org,https://www.onelifeuk.org,0
1126596,PEOPLE INTERNATIONAL PROJECTS LTD,"THE OBJECTS FOR WHICH THE COMPANY IS ESTABLISHED ARE:A) THE RELIEF OF POVERTY WORLDWIDEB) THE ADVANCEMENT OF PUBLIC EDUCATION IN THE AREAS OF PRIMARY HEALTHCARE, SMALL SCALE ECONOMIC GROWTH AND AGRICULTURE","PO Box 310, Tunbridge Wells, Kent",TN1 1WT,01892545510,,,83393
1126315,THE PARACHUTE REGIMENTAL ASSOCIATION LONDON BRANCH,FUNDRAISING FOR OUR ARMED FORCES AND EX SERVICE MEN AND WOMEN.,"96 Blanmerle Road, New Eltham, London",SE9 2DZ,07810022974,LondonPRA@hotmail.com,https://www.LondonParas.Org,20266
1127490,QUEENBOROUGH TOWN COMMUNITY CENTRE LTD,"QTCC LTD: SECURED CAPITAL GRANTS TO REFURBISH FORMER QUEENBOROUGH JUNIOR SCHOOL AND NOW RUN A COMMUNITY CENTRE WITH SERVICES FOR ALL AGES, NATIONALITIES AND ABILITIES IN THE AREA OF QUEENBOROUGH/HALFWAY AND OTHER PARTS OF THE ISLE OF SHEPPEY.","Castle Connections, Railway Terrace, QUEENBOROUGH, Kent",ME11 5AY,01795661277,info@castleconnections.co.uk,https://castleconnections.co.uk,76476
1128253,HERNE BAY PIER TRUST,"The preservation, renovation, reconstruction and enhancement of Herne Bay Pier as a building of special architectural and historic interest. The promotion and use of the pier for recreational purposes and a community and heritage building for the use and benefit of all inhabitants and visitors to Herne Bay.","The Herne Bay Pier Trust, The White House, Central Parade, HERNE BAY",CT6 5JN,07736783436,info@hernebaypier.co.uk,http://hernebaypier.co.uk,160807
1126292,NORTH WEALDEN COMMUNITY TRANSPORT PARTNERSHIP LIMITED,"To provide accessible, safe and affordable minibus shopping services in partnership with local councils for people who are vulnerable or disadvantaged in the North of the Wealden District and the surrounding area.","North Wealden Community Transport, The Byre, Hodore Farm, Parrock Lane, Upper Hartfield",East Sus,01892771332,info@wealdlink.co.uk,https://www.wealdlink.co.uk,110480
1126537,SUTTON VALENCE PREPARTORY SCHOOL PARENTS ASSOCIATION,Parents Association for Sutton Valence Prep School,"SUTTON VALENCE PREP-SCHOOL, CHURCH ROAD, CHART SUTTON, MAIDSTONE",ME17 3RF,01622842117,enquiries@svprep.svs.org.uk,https://www.svs.org.uk,18301
1126689,UPPER ROOM CHURCH,"ORGANISING CHRISTIAN CHURCH SERVICES, PRAYER AND BIBLE STUDIES, SATURDAY SCHOOL FOR PRIMARY AND SECONDARY SCHOOL PUPILS","46 MATFIELD ROAD, BELVEDERE",DA17 6LT,01322445617,bismark40cann@yahoo.co.uk,,41237
1127057,MEDWAY AND MAIDSTONE ATHLETIC CLUB,"We provide athletics to the community through our membership scheme. Membership of our club is open all sections of the community regardless of race, ethnic origin, nationality, age, disability, gender, occupation, sexual orientation, religion, political or other beliefs.","4 TRUBRIDGE ROAD, HOO, ROCHESTER",ME3 9EW,01634256244,,https://www.mandmac.org,47758
1128315,HARMONY VARIETY CLUBS LIMITED,"Harmony is a voluntary based fully integrated performing arts group, specialising in activities including singing and dancing to technical and prop making for the disadvantaged and all others that can care and share in the community. Through Harmony we offer the young and the not so young, opportunities to discover talents and develop skills which in turn will enable them to grow in confidence.","C/o BTA, Suite B, The Stable Block, Bradbourne House,East Malling, WEST MALLING, Kent",ME19 6DZ,01622763242,sparkle@harmonymaidstone.co.uk,,61154
1127086,SUSSEX PATHWAYS LIMITED,"Partnership working in prisons & the community; providing volunteer mentors for people involved in the criminal justice system, supporting them holistically to change behaviour and reduce harm to the community; recruiting training and supporting community members to volunteer; delivery of mentoring service; identifying appropriate specialised services for referral; applications to grant funding.","PRB Accountants Llp, Kingfisher House, Hurstwood Grange, Hurstwood Lane, HAYWARDS HEATH",West Sus,01273835113,sussexpathways@googlemail.com,https://www.sussexpathways.org.uk,420822
1127133,NORTH HEATH FAMILY CHURCH,"Sunday Meetings, Midweek housegroups, Youth Group, Monthly Family Fun Days free for the local community.","37 EASTRY ROAD, ERITH",DA8 1NW,01322448851,nhfc01@hotmail.com,https://northheathfamilychurch.org.uk,22580
1127205,STAPLEHURST FREE CHURCH,"We are an independent evangelical community church, providing the opportunity for all to worship God, and to serve some of the many and diverse needs of the community of Staplehurst and also be involved in the wider mission of the church overseas. We strive to monitor the needs of the community matching them to our resources, identifying opportunities for offering God's love to those in need.","Staplehurst Free Church, Station Road, Staplehurst, TONBRIDGE",TN12 0QQ,01580893993,churchadmin@staplehurstfreechurch.org.uk,https://www.staplehurstfreechurch.org.uk,136826
1130985,BALUJI MUSIC FOUNDATION LIMITED,"The main areas of activity this year saw the development of the Inner Vision Music Workshops for Visually Impaired people into 5 areas of London, and the National Tour of the Inner Vision Orchestra  These activities have been celebrated in national and regional media including the BBC. The Orchestra and workshops were held under the direction of Baluji Shrivastav OBE, supported by Linda Shanson.","33 Northolme Road, LONDON",N5 2UU,07812590021,info@balujimusicfoundation.org,http://www.balujimusicfoundation.org/,43719
1129105,PLAY FOR ELHAM,"Play for Elham is a dynamic registered charity that is focused on improving the Sports and Play facilities for the young people of Elham and its surrounding area.Our main objective is to improve and provide sport and play facilities where needed, as well as run a range of fun, interesting and different events for the youth in the area.","3 Coach House Mews, High Street, Elham, CANTERBURY",CT4 6TD,01303840060,claireg.elhampc@gmail.com,https://www.playforelham.co.uk,1732
1128972,UPCHURCH CRICKET CLUB,Cricket Club,"HOLYWELL LANE, UPCHURCH, SITTINGBOURNE",ME9 7HN,01634 262475,upchurchcricketclub@outlook.com,,143384
1129580,THE CENTER FOR AFRICAN RELIGIOUS ECONOMIC AND SOCIAL DEVELOPMENT,the charity has began a challenge to help the community to help families to stay together. Hence we have associated with other organizations to help them with challenges regarding the challenge that families faced with divorce and abuse in various forms.,"Flat 56, Bannerman House, Lawn Lane, LONDON",SW8 1UA,02087769159,admin@bbglobalworld.com,https://www.caresdev.co.uk,20860
1128445,OPEN HOUSE CHURCH THANET,The church is committed to making a positive contribution to the lives of people in the local community. To this end we are actively supporting the SHINE project to enable women with self worth. We run Alpha courses to share the Gospel. We run Peaced- together courses for the broken and damaged in the community.  We support 'Beauty for ashes' based in Seven Oaks.,"Open House Church, 15 Station Approach Road, Ramsgate, Kent",CT11 7RN,07598646496,ohcthanet@gmail.com,,23045
1129974,TURNER CONTEMPORARY,"The principal objective of the company is the provision of a permanent gallery in Margate for the visual arts organisation which celebrates JMW Turner's association with Margate and, through a varied programme of exhibitions and events and learning activities, promotes an understanding and enjoyment of historical and contemporary art.","RENDEZVOUS, MARGATE, KENT",CT9 1HG,01843233000,info@turnercontemporary.org,https://www.turnercontemporary.org,2932481
1128340,DIADEM MINISTRIES INTERNATIONAL A.K.A DIADEM CHURCH,"Preaching the gospel, helping people to find and be established in their faith. Helping people to develop good character based on love of God and love for humanity, thereby making a total better person out of individual and society at large.","Diadem Church, 312 - 314 London Road, ROMFORD",RM7 9NH,07950529634,info@diademministries.org,https://www.diademministries.org,77464
1130130,KINGDOM EXCHANGE MINISTRIES,"To advance the Christian religion through the running of ecumenical worship, events and activities in the Medway towns and surrounding areas.","105 Rushdean Road, ROCHESTER, Kent",ME2 2PX,01634845913,info@kem.org.uk,https://www.kem.org.uk,12534
1128970,VINE EVANGELICAL CHURCH (SEVENOAKS),Non-denominational Christian church,"VINE EVANGELICAL CHURCH, HITCHEN HATCH LANE, SEVENOAKS",TN13 3AT,01732469833,office@vec.org.uk,https://www.vec.org.uk,103638
1128583,REDEEMED CHRISTIAN CHURCH OF GOD ('RCCG') - RESURRECTION AND RESTORATION PARISH,PROCLAMATION OF THE GOSPEL ACCORDING TO OUR LORD JESUS CHRIST. COUNSELLING AND YOUTH TRAINING.,"288 SLADE GREEN ROAD, ERITH",DA8 2HB,07916291563,,,63774
1137249,ACADEMY FM THANET,"TO ADVANCE THE EDUCATION OF MARLOWE ACADEMY STUDENTS (& SUCH OTHER EDUCATIONAL INSTITUTIONS AS THE TRUSTEES SHALL DECIDE FROM TIME TO TIME) AND INHABITANTS OF THANET AREA IN COMMUNICATION, BROADCASTING & OTHER MEDIA SKILLS AND TO PROMOTE COMMUNITY DEVELOPMENT AND CITIZENSHIP FOR THE BENEFIT OF THE PUBLIC THROUGH PROMOTION AND PROVISION OF A COMMUNITY RADIO STATION.","The Royal Harbour Academy, Marlowe Way, RAMSGATE, Kent",CT12 6FA,01843572538,debbie.day@academyfmthanet.com,https://www.academyfmthanet.com,49530
1137248,ACADEMY FM FOLKESTONE,"TO ADVANCE THE EDUCATION OF FOLKESTONE ACADEMY STUDENTS (& SUCH OTHER EDUCATIONAL INSTITUTIONS AS THE TRUSTEES SHALL DECIDE FROM TIME TO TIME) & INHABITANTS OF FOLKESTONE AREA IN COMMUNICATION, BROADCASTING & OTHER MEDIA SKILLS & TO PROMOTE COMMUNITY DEVELOPMENT AND CITIZENSHIP FOR THE BENEFIT OF FOLKESTONE & SURROUNDING AREA THROUGH PROMOTION AND PROVISION OF A COMMUNITY RADIO STATION.","c/o The Folkestone Academy, Academy Lane, FOLKESTONE, Kent",CT19 5FP,01303 842400,,https://www.academyfmfolkestone.com,35689
1129547,ENDTIME EVANGELICAL CHURCH,"1. Regular outreach programmes are organized to witness to the members of the public.                     2. Weekly bible studies and discussions.3. Weekly prayer meeting, praying for the community, governments and members.","ENDTIME EVANGELICAL CHURCH, 33-37 Second Avenue, Chatham, Kent, Uk",ME4 5AY,07949070174,eem@eeczionhouse.com,https://eeczionhouse.com,106526
1129727,FRIENDS OF HELPER,"Receiving donations and involved in fundraising activities to support the work of 'helper' in Kigoma, Tanzania which is helping support vulnerable people and providing education and access to support particularly for women and girls.","St. Philips & St. James Church, King George Road, CHATHAM, Kent",ME5 0TZ,01634868709,pbnights@gmail.com,,52014
1132134,FANT COMMUNITY HALL,"Provision & maintenance of Community Hall for use of the inhabitants of Fant & Surrounding Areas without distinction of political, religious, or other opinions, including use for: Meetings, lectures & classes, Other forms of recreation and leisure-time occupation, with the object of improving the conditions of life for the inhabitants. Do anything that is lawful which will help to fulfil its aim.","FANT COMMUNITY HALL, FANT LANE, MAIDSTONE",ME16 8NN,01622728308,skschoolofdance@aol.com,https://www.fanthall.co.uk,21854
1130155,ASHFORD DYSLEXIA CENTRE,provision of support and specialist education for dyslexic people of all ages,"The Annex, Live It Well Centre, Gore Hill, Canterbury Road, Ashford",TN24 8QF,01233427140,info@ashforddyslexiacentre.org,https://ashforddyslexiacentre.org,7568
1133142,THE JEMPSONS FOUNDATION,To provide or assist in the provision of facilities in the interests of social welfare in the local community.  To advance education.  To relieve sickness and the preservation of good health.,"JEMPSON LTD, MAIN STREET, PEASMARSH, RYE",TN31 6YD,01797230214,stephen@jempsons.com,https://www.jempsons.com,23891
1134663,CELESTIAL CHURCH OF CHRIST ERITH PARISH,"THE CHURCH PROVIDES SPIRITUAL AND MORAL SUPPORT TO MEMBERS AND THIS IS MADE POSSIBLE BY THE PROVISION OF A PLACE OF WORSHIP WHERE MEMBERS CONGREGATE TO WORSHIP, DISCUSS THE BIBLE AND OFFER PRAYERS AND THANKS TO GOD.","CELESTIAL CHURCH OF CHRIST, 33 BEXLEY ROAD, ERITH",DA8 1SH,01322330175,admin@cccnoahsark.com,https://www.cccnoahsark.com,107698
1130350,STARFISH MALAWI,"We are committed  to follow the example of Jesus Christ in his compassion for the poor, vulnerable and marginalised by alleviating poverty through education, vocational training and use of sustainable resources.  We support a number of projects in Malawi, link schools in Malawi to schools in the UK, sponsor secondary school students in Malawi among other activities.","ALDERDEN COTTAGE, SPONDEN LANE, SANDHURST, CRANBROOK",TN18 5NR,01580850251,chrisknott@starfishmalawi.com,https://www.starfishmalawi.com,256466
1132245,ST MARY'S NURSERY ASHFORD,St. Mary's Nursery provides care and education for pre-school children in a purpose built facility.  We aim to provide a secure and caring environment where children may play and learn at their own pace with the support of appropriately trained staff.  We provide play opportunities for all children from all backgrounds which reach the requirements of the Early Years Foundation Stage.,"St Mary's Nursery, Western Avenue, Ashford, Kent",,01233641503,margaret@stmarysnursery.co.uk,https://www.stmarysnursery.co.uk,121194
1131357,GRAVENEY & GOODNESTONE TRUST,"To promote the benefit of the inhabitants of the parishes of Graveney with Goodnestone ..without distinction of sex, sexual orientation, race or of political, religious or other opinions, by associating ..organisations ..in a common effort to advance education and to provide facilities in the interest of ..recreation ..with the object of improving the conditions of life.. . .. Edited to Length","TASHMIRI MEWS, SEASALTER ROAD, GRAVENEY, FAVERSHAM",ME13 9ED,01795532372,,,758
1133568,ALPHA AND OMEGA CHRISTIAN MINISTRIES IN DARTFORD,The advancement of the Christian Faith,"35 MYRTLE ROAD, DARTFORD",DA1 2RJ,07854030822,office@AandOministries.org,https://www.AandOministries.org,18833
