id,title,slug,url,organisation,organisation_url,email,phone,website,address,postcode,price,categories,description,excerpt,date,modified
,VitaMinds Talking Therapy,vitaminds-talking-therapy,https://involvekent.org.uk/directory/vitaminds-talking-therapy/,VitaMinds Telephone 0333 0153495,https://involvekent.org.uk/directory_entry_organisation/vitaminds/,iapt.kentmedway@nhs.net,0333 0153495,,"Virtual What we do VitaMinds is your local NHS talking therapies service, known as IAPT (Improving Access to Psychological Therapies). It is a free service. We all experience times when we feel like we can’t cope, sometimes this can start to affect our everyday lives and prevent us from doing the things we normally do. Our support covers Kent and Medway.",,Free Organisation VitaMinds Telephone 0333 0153495 Email iapt.kentmedway@nhs.net Organisation VitaMinds,Counselling; Health; Mental Health; Support Services and Self-help,"VitaMinds is your local NHS talking therapies service, known as IAPT (Improving Access to Psychological Therapies). It is a free service. We all experience times when we feel like we can’t cope, sometimes this can start to affect our everyday lives and prevent us from doing the things we normally do. Our support covers Kent and Medway. Price Free",,,
,Voiceful Choir,voiceful-choir,https://involvekent.org.uk/directory/voiceful-choir/,Voiceful Choir Telephone 07774 841808,https://involvekent.org.uk/directory_entry_organisation/voiceful-choir/,info@voiceful.uk,07774 841808,,"Bearsted & Thurnham Memorial Hall, Manor Rise, Bearsted, ME14 4DB What we do We are a group of amateur enthusiasts from Bearsted (and in and around Maidstone) who love singing! First session is free, termly £3 per session (paid in advance) or pay as you go is £5 per session. The charge pays for the hall hire, song/music licensing and running costs for the group. Come and join a friendly group and enjoy the benefits of singing!",ME14 4DB,Set charge Organisation Voiceful Choir Telephone 07774 841808 Email info@voiceful.uk Organisation Voiceful Choir,Arts and crafts; Groups and Community Activities; Hobbies and interests,"We are a group of amateur enthusiasts from Bearsted (and in and around Maidstone) who love singing! First session is free, termly £3 per session (paid in advance) or pay as you go is £5 per session. The charge pays for the hall hire, song/music licensing and running costs for the group. Come and join a friendly group and enjoy the benefits of singing! We are a group of amateur enthusiasts from Bearsted (and in and around Maidstone) who love singing! First session is free, termly £3 per session (paid in advance) or pay as you go is £5 per session. The charge pays for the hall hire, song/music licensing and running costs for the group. Come and join a friendly group and enjoy the benefits of singing! Price Set charge",,,
,Volunteer Transport Scheme Dartford,volunteer-transport-scheme-dartford,https://involvekent.org.uk/directory/volunteer-transport-scheme-dartford/,HLC Dartford (Healthy Living Centre Dartford) Telephone 01322 470926,https://involvekent.org.uk/directory_entry_organisation/hlc-dartford-healthy-living-centre-dartford/,transport@hlcdartford.org.uk,01322 470926,,"HLC Dartford (Healthy Living Centre Dartford), Tree Community Centre, Cedar Road, Dartford, Kent, DA1 2RS What we do A volunteer-led transport service for older people in the Borough of Dartford, to enable them to access health-related services. Eligibility Criteria To access this service, clients must meet the following requirements: 50 years or older. Must reside within the Dartford Borough. Unable to access standard public transport (due to health issues, disability, or location). The scheme is ideally for those booking regular journeys rather than a one-off trips to make it as cost effective as possible. Drivers are not permitted to enter the client’s home, so clients requiring extra assistance (including those with dementia or Alzheimer’s) must arrange for a companion to accompany them. Membership & Fees Annual Membership (2026/27) = £20.00 (Subsidised) Annual Renewal (2027/28 onwards) – £40.00 Each booking will also attract a £2.00 administration charge, which contributes towards the running costs and sustainability of the service. This scheme is supported by Dartford Borough Council, funded through the UK Shared Prosperity Fund and delivered by Healthy Living Centre Dartford.",DA1 2RS,,Support Services and Self-help; Transport,"A volunteer-led transport service for older people in the Borough of Dartford, to enable them to access health-related services. Eligibility Criteria To access this service, clients must meet the following requirements: 50 years or older. Must reside within the Dartford Borough. Unable to access standard public transport (due to health issues, disability, or location). The scheme is ideally for those booking regular journeys rather than a one-off trips to make it as cost effective as possible. Drivers are not permitted to enter the client’s home, so clients requiring extra assistance (including those with dementia or Alzheimer’s) must arrange for a companion to accompany them. Membership & Fees Annual Membership (2026/27) = £20.00 (Subsidised) Annual Renewal (2027/28 onwards) – £40.00 Each booking will also attract a £2.00 administration charge, which contributes towards the running costs and sustainability of the service. This scheme is supported by Dartford Borough Council, funded through the UK Shared Prosperity Fund and delivered by Healthy Living Centre Dartford. A volunteer-led transport service for older people in the Borough of Dartford, to enable them to access health-related services. Eligibility Criteria To access this service, clients must meet the following requirements: Drivers are not permitted to enter the client’s home, so clients requiring extra assistance (including those with dementia or Alzheimer’s) must arrange for a companion to accompany them. Membership & Fees Annual Membership (2026/27) = £20.00 (Subsidised) Annual Renewal (2027/28 onwards) – £40.00 Each booking will also attract a £2.00 administration charge, which contributes towards the running costs and sustainability of the service. This scheme is supported by Dartford Borough Council, funded through the UK Shared Prosperity Fund and delivered by Healthy Living Centre Dartford. Organisation HLC Dartford (Healthy Living Centre Dartford) Telephone 01322 470926 Email transport@hlcdartford.org.uk Organisation HLC Dartford (Healthy Living Centre Dartford)",,,
,Volunteering Courses,volunteering-courses,https://involvekent.org.uk/directory/volunteering-courses/,Response Kent Adult Education Telephone 03000 416 000,https://involvekent.org.uk/directory_entry_organisation/response-kent-adult-education/,Response01@kent.gov.uk,03000 416 000,,,,,"Skills, education and training; Support Services and Self-help","Confidence into Volunteering – For those who are not yet ready for their first volunteering role, this course will give you the confidence to take a step towards your goal. It looks at what confidence means to you and how you recognise confidence in others. You will learn how to utilise positive self-talk and attitude to help you change self-limiting beliefs. Course is 3 to 6 hours. Skills for Volunteers – This course looks at the benefits of volunteering transferable skills and overcoming barriers, rights and responsibilities, body language and training. It is ideal for those ready for their first role in volunteering. Course is 3 to 6 hours. Level 1 Introduction to Customer Service – This course provides an introduction to the skills and personal qualities required for careers and job opportunities within the customer service sector. It will look at dealing with the face-to-face and on the phone, as well as dealing with queries and complaints. Course is 6 hours or two sessions of 3 hours and is also available as an accredited course by Laser Awards. Communication and Listening Skills for Volunteers – You will explore communication skills and techniques, understand issues that impact communication in different types of situations and assess strategies for personal development and resilience. Course is 4 hours. Level 3 Emergency First Aid at Work – This qualification is delivered through hands-on learning, practical teaching, demonstrations and a theory test. An Emergency First Aid at Work certificate will be issued upon successful completion of the course which is valid for three years. The course is a full day. Confidence into Volunteering – For those who are not yet ready for their first volunteering role, this course will give you the confidence to take a step towards your goal. It looks at what confidence means to you and how you recognise confidence in others. You will learn how to utilise positive self-talk and attitude to help you change self-limiting beliefs. Course is 3 to 6 hours. Skills for Volunteers – This course looks at the benefits of volunteering transferable skills and overcoming barriers, rights and responsibilities, body language and training. It is ideal for those ready for their first role in volunteering. Course is 3 to 6 hours. Level 1 Introduction to Customer Service – This course provides an introduction to the skills and personal qualities required for careers and job opportunities within the customer service sector. It will look at dealing with the face-to-face and on the phone, as well as dealing with queries and complaints. Course is 6 hours or two sessions of 3 hours and is also available as an accredited course by Laser Awards. Communication and Listening Skills for Volunteers – You will explore communication skills and techniques, understand issues that impact communication in different types of situations and assess strategies for personal development and resilience. Course is 4 hours. Level 3 Emergency First Aid at Work – This qualification is delivered through hands-on learning, practical teaching, demonstrations and a theory test. An Emergency First Aid at Work certificate will be issued upon successful completion of the course which is valid for three years. The course is a full day. Organisation Response Kent Adult Education Telephone 03000 416 000 Email Response01@kent.gov.uk Organisation Response Kent Adult Education",,,
,Walk 4 Wellbeing: East Malling Walk,walk-4-wellbeing-east-malling-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-east-malling-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"The East Malling Centre, Chapman Way, East Malling, West Malling ME19 6SD, UK What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. East Malling Walk Where: East Malling Centre, ME19 6SD When: Every Friday Walk starts: 11:00am from the centre café Walk lasts: 60-90 minutes Everyone is welcome to join but please contact us before so we know to expect you.",ME19 6SD,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Health; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. East Malling Walk Where: East Malling Centre, ME19 6SD When: Every Friday Walk starts: 11:00am from the centre café Walk lasts: 60-90 minutes Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. East Malling Walk Where: East Malling Centre, ME19 6SD When: Every Friday Walk starts: 11:00am from the centre café Walk lasts: 60-90 minutes Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Hadlow Walk,walk-4-wellbeing-hadlow-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-hadlow-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Hadlow Square, Hadlow, Tonbridge TN11 0DA, UK What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Hadlow Walk Where: Hadlow Square, TN11 0DA When: Every Thursday Walk starts: 10:30am opposite the pharmacy Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you.",TN11 0DA,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Hadlow Walk Where: Hadlow Square, TN11 0DA When: Every Thursday Walk starts: 10:30am opposite the pharmacy Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Hadlow Walk Where: Hadlow Square, TN11 0DA When: Every Thursday Walk starts: 10:30am opposite the pharmacy Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Hildenborough Walk,walk-4-wellbeing-hildenborough-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-hildenborough-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Recreational Ground, Hildenborough, Tonbridge, Kent, TN11 9HY What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Hildenborough Walk Where: Recreational Ground, TN11 9HY When: Every 1st and 3rd Monday Walk starts: 10am from car park Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you.",TN11 9HY,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Hildenborough Walk Where: Recreational Ground, TN11 9HY When: Every 1st and 3rd Monday Walk starts: 10am from car park Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Hildenborough Walk Where: Recreational Ground, TN11 9HY When: Every 1st and 3rd Monday Walk starts: 10am from car park Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Leybourne Walks,walk-4-wellbeing-leybourne-walks,https://involvekent.org.uk/directory/walk-4-wellbeing-leybourne-walks/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Leybourne Lakes Country Park, ME20 6AA What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. We have two walks a week in Leybourne: Tuesday Walk Where: Leybourne Lakes Country Park, ME20 When: Every Tuesday Walk starts: 10am main car park Walk lasts: 60-90 or 30 minute walks available Thursday Walk Where: Leybourne Lakes Country Park ME20 6AA When: Every Thursday Walk starts: 10am from the main car park Walk lasts: 60 or 30 minute walks available Everyone is welcome to join but please contact us before so we know to expect you.",ME20 6AA,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. We have two walks a week in Leybourne: Tuesday Walk Where: Leybourne Lakes Country Park, ME20 When: Every Tuesday Walk starts: 10am main car park Walk lasts: 60-90 or 30 minute walks available Thursday Walk Where: Leybourne Lakes Country Park ME20 6AA When: Every Thursday Walk starts: 10am from the main car park Walk lasts: 60 or 30 minute walks available Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. We have two walks a week in Leybourne: Tuesday Walk Where: Leybourne Lakes Country Park, ME20 When: Every Tuesday Walk starts: 10am main car park Walk lasts: 60-90 or 30 minute walks available Thursday Walk Where: Leybourne Lakes Country Park ME20 6AA When: Every Thursday Walk starts: 10am from the main car park Walk lasts: 60 or 30 minute walks available Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Platt Walk,walk-4-wellbeing-platt-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-platt-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"St Mary's Platt, Sevenoaks, Kent, TN15 8NE What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Platt Walk Where: St Marys Platt Church, TN15 8NE When: Every Monday Walk starts: 10am outside the church Walk lasts: 60-90 minutes (Walk may include hills) Everyone is welcome to join but please contact us before so we know to expect you.",TN15 8NE,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Platt Walk Where: St Marys Platt Church, TN15 8NE When: Every Monday Walk starts: 10am outside the church Walk lasts: 60-90 minutes (Walk may include hills) Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Platt Walk Where: St Marys Platt Church, TN15 8NE When: Every Monday Walk starts: 10am outside the church Walk lasts: 60-90 minutes (Walk may include hills) Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Snodland Walk,walk-4-wellbeing-snodland-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-snodland-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Snodland Medical Practice, Catts Alley, Snodland ME6 5SN, UK What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Snodland Walk Where: Snodland Medical Practice, ME6 5SN When: Every Thursday Walk starts: 11:30am outside medical practice Walk lasts: 45-60 minutes Everyone is welcome to join but please contact us before so we know to expect you.",ME6 5SN,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Snodland Walk Where: Snodland Medical Practice, ME6 5SN When: Every Thursday Walk starts: 11:30am outside medical practice Walk lasts: 45-60 minutes Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Snodland Walk Where: Snodland Medical Practice, ME6 5SN When: Every Thursday Walk starts: 11:30am outside medical practice Walk lasts: 45-60 minutes Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Tonbridge Long Walks,walk-4-wellbeing-tonbridge-long-walks,https://involvekent.org.uk/directory/walk-4-wellbeing-tonbridge-long-walks/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Tonbridge Swimming Pool, Castle Street, Tonbridge TN9 1HR, UK What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Tonbridge Long Walks Where: Tonbridge Pool, TN9 1HR When: Every Wednesday Walk starts: 11am from main entrance Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you.",TN9 1HR,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Tonbridge Long Walks Where: Tonbridge Pool, TN9 1HR When: Every Wednesday Walk starts: 11am from main entrance Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Tonbridge Long Walks Where: Tonbridge Pool, TN9 1HR When: Every Wednesday Walk starts: 11am from main entrance Walk lasts: 60-90 minutes (Walk may include stiles) Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Tonbridge short walk,walk-4-wellbeing-tonbridge-short-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-tonbridge-short-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Tonbridge Swimming Pool, Castle Street, Tonbridge TN9 1HR, UK What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Tonbridge short walk Where: Tonbridge Pool, Tonbridge, TN9 1HR When: Every Wednesday Walk starts: 10:15am from main entrance Walk lasts: 30 minutes Everyone is welcome to join but please contact us before so we know to expect you.",TN9 1HR,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Tonbridge short walk Where: Tonbridge Pool, Tonbridge, TN9 1HR When: Every Wednesday Walk starts: 10:15am from main entrance Walk lasts: 30 minutes Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Tonbridge short walk Where: Tonbridge Pool, Tonbridge, TN9 1HR When: Every Wednesday Walk starts: 10:15am from main entrance Walk lasts: 30 minutes Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Walk 4 Wellbeing: Wouldham Walk,walk-4-wellbeing-wouldham-walk,https://involvekent.org.uk/directory/walk-4-wellbeing-wouldham-walk/,One You Tonbridge and Malling Telephone 01732 876347,https://involvekent.org.uk/directory_entry_organisation/one-you-tonbridge-and-malling/,healthy.living@tmbc.gov.uk,01732 876347,,"Knowle Road, Wouldham, Rochester ME1 3XB, UK What we do Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Wouldham Walk Where: Knowle Road car park, ME1 3XB When: Every Wednesday Walk starts: 10.30am from the car park Walk lasts: 60 minutes Everyone is welcome to join but please contact us before so we know to expect you.",ME1 3XB,Free Organisation One You Tonbridge and Malling Telephone 01732 876347 Email healthy.living@tmbc.gov.uk Organisation One You Tonbridge and Malling,Groups and Community Activities; Health; Hobbies and interests; Walks,"Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Wouldham Walk Where: Knowle Road car park, ME1 3XB When: Every Wednesday Walk starts: 10.30am from the car park Walk lasts: 60 minutes Everyone is welcome to join but please contact us before so we know to expect you. Tonbridge & Malling health walks are free, fun and friendly – perfect to help you get active, meet new people and improve mental health and well being. Wouldham Walk Where: Knowle Road car park, ME1 3XB When: Every Wednesday Walk starts: 10.30am from the car park Walk lasts: 60 minutes Everyone is welcome to join but please contact us before so we know to expect you. Price Free",,,
,Spadework Wellbeing Walks,walk-on-wednesdays,https://involvekent.org.uk/directory/walk-on-wednesdays/,Spadework Telephone 01732 870002,https://involvekent.org.uk/directory_entry_organisation/spadework/,caroline.robinson@spadework.org.uk,01732 870002,,"Spadework, Teston Road, Offham, ME19 5NA What we do Walking on Wednesday Relaxed, easy walking, with a friendly group around the beautiful local countryside. We usually cover between 3 and 4 miles in two hours. When : Every Wednesday morning, (unless the weather is really bad) from 10am-12pm Where : Start from the car park entrance at Spadework. Booking : Booking and registration form required. Please contact us if you are interested in joining.",ME19 5NA,Free Organisation Spadework Telephone 01732 870002 Email caroline.robinson@spadework.org.uk Organisation Spadework,Groups and Community Activities; Health; Hobbies and interests; Walks,"Walking on Wednesday Relaxed, easy walking, with a friendly group around the beautiful local countryside. We usually cover between 3 and 4 miles in two hours. When : Every Wednesday morning, (unless the weather is really bad) from 10am-12pm Where : Start from the car park entrance at Spadework. Booking : Booking and registration form required. Please contact us if you are interested in joining. Walking on Wednesday Relaxed, easy walking, with a friendly group around the beautiful local countryside. We usually cover between 3 and 4 miles in two hours. When : Every Wednesday morning, (unless the weather is really bad) from 10am-12pm Where : Start from the car park entrance at Spadework. Booking : Booking and registration form required. Please contact us if you are interested in joining. Price Free",,,
,Walking Football for Over 50s,walking-football-for-over-50s,https://involvekent.org.uk/directory/walking-football-for-over-50s/,Sevenoaks Town FC Walking Football Email colstamenity@hotmail.co.uk,https://involvekent.org.uk/directory_entry_organisation/sevenoaks-town-fc-walking-football/,colstamenity@hotmail.co.uk,,,"Sevenoaks Football Club, Bourne Stadium, Sevenoaks, tn14 5bx What we do Our walking football clubs for over 50’s are free to attend and last up to 2 hours.",,Free Organisation Sevenoaks Town FC Walking Football Email colstamenity@hotmail.co.uk Organisation Sevenoaks Town FC Walking Football,Groups and Community Activities; Health; Hobbies and interests; Sport and fitness,Our walking football clubs for over 50’s are free to attend and last up to 2 hours. Price Free,,,
,Walking football,walking-football,https://involvekent.org.uk/directory/walking-football/,TMActive Email natalie.williams@tmactive.co.uk,https://involvekent.org.uk/directory_entry_organisation/tmactive/,natalie.williams@tmactive.co.uk,,https://www.tmactive.co.uk/centres/kings-hill/fitness-activities/#walkfoot,"Kings Hill Sports Park, 200 Beacon Ave, Kings Hill, West Malling, ME19 4QP What we do If you think your footballing days are over then think again! Come and join our weekly pay and play Walking Football sessions at KHSP – great for keeping fit, learning new skills and for socialising. Session details: When: Every Friday (term-time only) from 11am to 12 noon Where: Kings Hill Sports Park Costs: £3.90 per session For more information, visit our website: https://www.tmactive.co.uk/centres/kings-hill/fitness-activities/#walkfoot",ME19 4QP,£3.90 per session Organisation TMActive Email natalie.williams@tmactive.co.uk Organisation TMActive,Health; Sport and fitness,"If you think your footballing days are over then think again! Come and join our weekly pay and play Walking Football sessions at KHSP – great for keeping fit, learning new skills and for socialising. Session details: When: Every Friday (term-time only) from 11am to 12 noon Where: Kings Hill Sports Park Costs: £3.90 per session For more information, visit our website: https://www.tmactive.co.uk/centres/kings-hill/fitness-activities/#walkfoot If you think your footballing days are over then think again! Come and join our weekly pay and play Walking Football sessions at KHSP – great for keeping fit, learning new skills and for socialising. Session details: When: Every Friday (term-time only) from 11am to 12 noon Where: Kings Hill Sports Park Costs: £3.90 per session For more information, visit our website: https://www.tmactive.co.uk/centres/kings-hill/fitness-activities/#walkfoot https://www.tmactive.co.uk/centres/kings-hill/fitness-activities/#walkfoot Price £3.90 per session",,,
,Walking Group,walking-group,https://involvekent.org.uk/directory/walking-group/,Every Step Counts Telephone 07899 985196,https://involvekent.org.uk/directory_entry_organisation/every-step-counts/,everystepcounts17@gmail.com,07899 985196,,"Registered Address Only: 63, Betenson Avenue, Sevenoaks, TN13 3ER What we do Every Step Counts is a gentle, supportive walking group which run 8 walks in the Sevenoaks district. Our walks are aimed at people who would like to walk, chat and meet new people at the same time as improving or maintaining their fitness. We walk at the speed and for the length that suits each individual. Most walks last 20 minutes but there is always an option to do more or less for those who wish to and are able. After the walk there is always an opportunity to have refreshments in a nearby café and to enjoy the company of the group. It doesn’t matter if you can only manage a short distance, are recovering from an operation, are trying to lose weight or need someone to encourage you to exercise. Every Step Counts. (Please note the below address is the registered address only). For more information including the meeting point of the walking group, please contact us using the details below).",TN13 3ER,Free Organisation Every Step Counts Telephone 07899 985196 Email everystepcounts17@gmail.com Organisation Every Step Counts,Groups and Community Activities; Health; Hobbies and interests; Walks,"Every Step Counts is a gentle, supportive walking group which run 8 walks in the Sevenoaks district. Our walks are aimed at people who would like to walk, chat and meet new people at the same time as improving or maintaining their fitness. We walk at the speed and for the length that suits each individual. Most walks last 20 minutes but there is always an option to do more or less for those who wish to and are able. After the walk there is always an opportunity to have refreshments in a nearby café and to enjoy the company of the group. It doesn’t matter if you can only manage a short distance, are recovering from an operation, are trying to lose weight or need someone to encourage you to exercise. Every Step Counts. (Please note the below address is the registered address only). For more information including the meeting point of the walking group, please contact us using the details below). Every Step Counts is a gentle, supportive walking group which run 8 walks in the Sevenoaks district. Our walks are aimed at people who would like to walk, chat and meet new people at the same time as improving or maintaining their fitness. We walk at the speed and for the length that suits each individual. Most walks last 20 minutes but there is always an option to do more or less for those who wish to and are able. After the walk there is always an opportunity to have refreshments in a nearby café and to enjoy the company of the group. It doesn’t matter if you can only manage a short distance, are recovering from an operation, are trying to lose weight or need someone to encourage you to exercise. Every Step Counts. (Please note the below address is the registered address only). For more information including the meeting point of the walking group, please contact us using the details below). Price Free",,,
,Walking Groups,walking-groups,https://involvekent.org.uk/directory/walking-groups/,Stepping Out With Carers CIC Telephone 07836 283566,https://involvekent.org.uk/directory_entry_organisation/stepping-out-with-carers-cic/,hallosteppingout@gmail.com,07836 283566,,"Registered Address, 18, Naildown Road, Hythe, CT21 5SY What we do Join us for socially distanced walking at different paces to suit all capabilities, including people in wheelchairs or with other mobility issues. Our groups offer scenic, sociable, rejuvenating walks to carers and the people they care for at beautiful venues throughout Kent. Designed to boost mental and physical health and reduce isolation with fresh air, friendships and exercise. Lunch to follow. All free of charge.",CT21 5SY,Free Organisation Stepping Out With Carers CIC Telephone 07836 283566 Email hallosteppingout@gmail.com Organisation Stepping Out With Carers CIC,Groups and Community Activities; Health; Hobbies and interests; Social groups and coffee mornings; Walks,"Join us for socially distanced walking at different paces to suit all capabilities, including people in wheelchairs or with other mobility issues. Our groups offer scenic, sociable, rejuvenating walks to carers and the people they care for at beautiful venues throughout Kent. Designed to boost mental and physical health and reduce isolation with fresh air, friendships and exercise. Lunch to follow. All free of charge. Join us for socially distanced walking at different paces to suit all capabilities, including people in wheelchairs or with other mobility issues. Our groups offer scenic, sociable, rejuvenating walks to carers and the people they care for at beautiful venues throughout Kent. Designed to boost mental and physical health and reduce isolation with fresh air, friendships and exercise. Lunch to follow. All free of charge. Price Free",,,
